level=warn ts=2025-09-25T08:19:26.415994017Z caller=main.go:130 msg="-- CONFIGURATION WARNINGS --"
level=warn ts=2025-09-25T08:19:26.416056807Z caller=main.go:136 msg="Local backend will not correctly retrieve traces with a distributed deployment unless all components have access to the same disk. You should probably be using object storage as a backend."
level=info ts=2025-09-25T08:19:26.689980559Z caller=main.go:114 msg="Starting Tempo" version="(version=v2.8.2, branch=HEAD, revision=6b9261586)" target=distributor
level=info ts=2025-09-25T08:19:26.694977557Z caller=server.go:265 msg="server listening on addresses" http=[::]:3200 grpc=[::]:9095
ts=2025-09-25T08:19:26Z level=info msg="OTel Shim Logger Initialized" component=tempo
level=info ts=2025-09-25T08:19:26.796605978Z caller=memberlist_client.go:463 msg="Using memberlist cluster label and node name" cluster_label=tempo.monitoring node=tempo-distributor-544497c4bc-4nw27-e30bb777
level=info ts=2025-09-25T08:19:26.890019305Z caller=module_service.go:82 msg=starting module=internal-server
level=info ts=2025-09-25T08:19:26.890083682Z caller=module_service.go:82 msg=starting module=server
level=info ts=2025-09-25T08:19:26.89019773Z caller=module_service.go:82 msg=starting module=memberlist-kv
level=info ts=2025-09-25T08:19:26.890229859Z caller=module_service.go:82 msg=starting module=usage-report
level=info ts=2025-09-25T08:19:26.890283842Z caller=module_service.go:82 msg=starting module=ring
level=info ts=2025-09-25T08:19:26.890282419Z caller=module_service.go:82 msg=starting module=overrides
level=info ts=2025-09-25T08:53:40.98961933Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:54:10.987478366Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:54:40.986977915Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:55:10.984800518Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:55:40.983168635Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:56:10.982205422Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:56:40.980844663Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:57:10.979130234Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:57:40.977226583Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:58:10.975804241Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:58:40.974613252Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:59:10.973379313Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:59:40.970329104Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:00:10.970516634Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:00:40.968108389Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:01:10.966889131Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:01:40.965247822Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:02:10.964395347Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:02:40.962641769Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:03:10.960509661Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:03:40.959026698Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:04:10.95843392Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:04:40.956485782Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:05:10.955506322Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:05:40.953967299Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:06:10.951983156Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:06:40.950863457Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:07:10.948923879Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:07:40.947504376Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:08:10.945748599Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
